product,itemCount,running_total
core.chargeable.advancemailsec,2,1279
core.chargeable.exchange,1,1280
core.chargeable.sp1gb,1,1281
core.chargeable.advancemailsec,1,1282
core.chargeable.exchange,4,1286
core.chargeable.sp1gb,1,1287
core.chargeable.advancemailsec,4,1291
core.chargeable.exchange,3,1294
core.chargeable.sp1gb,1,1295
core.chargeable.advancemailsec,3,1298
core.chargeable.exchange,1,1299
core.chargeable.sp1gb,1,1300
core.chargeable.advancemailsec,1,1301
core.chargeable.exchange,1,1302
core.chargeable.sp1gb,1,1303
core.chargeable.advancemailsec,1,1304
core.chargeable.exchange,6,1310
core.chargeable.sp1gb,1,1311
core.chargeable.advancemailsec,6,1317
core.chargeable.exchange,12,1329
core.chargeable.sp1gb,1,1330
core.chargeable.advancemailsec,12,1342
core.chargeable.exchange,2,1344
core.chargeable.sp1gb,1,1345
core.chargeable.advancemailsec,2,1347
core.chargeable.exchange,1,1348
core.chargeable.sp1gb,1,1349
core.chargeable.advancemailsec,1,1350
core.chargeable.exchange,4,1354
core.chargeable.sp1gb,1,1355
core.chargeable.advancemailsec,4,1359
core.chargeable.exchange,5,1364
core.chargeable.sp1gb,1,1365
core.chargeable.advancemailsec,5,1370
core.chargeable.exchange,1,1371
core.chargeable.sp1gb,1,1372
core.chargeable.advancemailsec,1,1373
core.chargeable.exchange,1,1374
core.chargeable.sp1gb,1,1375
core.chargeable.advancemailsec,1,1376
core.chargeable.exchange,1,1377
core.chargeable.sp1gb,1,1378
core.chargeable.advancemailsec,1,1379
core.chargeable.exchange,6,1385
core.chargeable.sp1gb,1,1386
core.chargeable.advancemailsec,6,1392
core.chargeable.exchange,2,1394
core.chargeable.sp1gb,1,1395
core.chargeable.advancemailsec,2,1397
core.chargeable.exchange,14,1411
core.chargeable.sp1gb,1,1412
core.chargeable.advancemailsec,14,1426
core.chargeable.exchange,4,1430
core.chargeable.sp1gb,1,1431
core.chargeable.advancemailsec,4,1435
core.chargeable.exchange,2,1437
core.chargeable.sp1gb,1,1438
core.chargeable.advancemailsec,2,1440
core.chargeable.exchange,1,1441
core.chargeable.sp1gb,1,1442
core.chargeable.advancemailsec,1,1443
core.chargeable.exchange,2,1445
core.chargeable.sp1gb,1,1446
core.chargeable.advancemailsec,2,1448
core.chargeable.exchange,4,1452
core.chargeable.sp1gb,1,1453
core.chargeable.advancemailsec,4,1457
core.chargeable.exchange,1,1458
core.chargeable.sp1gb,1,1459
core.chargeable.advancemailsec,1,1460
core.chargeable.exchange,11,1471
core.chargeable.advancemailsec,11,1482
core.chargeable.exchange,2,1484
core.chargeable.sp1gb,1,1485
core.chargeable.advancemailsec,2,1487
core.chargeable.exchange,2,1489
core.chargeable.sp1gb,1,1490
core.chargeable.advancemailsec,2,1492
core.chargeable.exchange,5,1497
core.chargeable.sp1gb,1,1498
core.chargeable.advancemailsec,5,1503
core.chargeable.exchange,9,1512
core.chargeable.sp1gb,1,1513
core.chargeable.advancemailsec,9,1522
core.chargeable.exchange,16,1538
core.chargeable.sp1gb,1,1539
core.chargeable.advancemailsec,16,1555
core.chargeable.exchange,7,1562
core.chargeable.sp1gb,1,1563
core.chargeable.advancemailsec,7,1570
core.chargeable.encrygateway,1,1571
core.chargeable.exchange,1,1572
core.chargeable.sp1gb,1,1573
core.chargeable.advancemailsec,1,1574
core.chargeable.exchange,2,1576
core.chargeable.sp1gb,1,1577
core.chargeable.advancemailsec,2,1579
core.chargeable.exchange,6,1585
core.chargeable.sp1gb,1,1586
core.chargeable.advancemailsec,6,1592
core.chargeable.exchange,1,1593
core.chargeable.sp1gb,1,1594
core.chargeable.advancemailsec,1,1595
core.chargeable.exchange,2,1597
core.chargeable.sp1gb,1,1598
core.chargeable.advancemailsec,2,1600
core.chargeable.exchange,9,1609
core.chargeable.sp1gb,1,1610
core.chargeable.advancemailsec,9,1619
core.chargeable.exchange,6,1625
core.chargeable.sp1gb,1,1626
core.chargeable.advancemailsec,6,1632
core.chargeable.exchange,2,1634
core.chargeable.sp1gb,1,1635
core.chargeable.advancemailsec,2,1637
core.chargeable.exchange,1,1638
core.chargeable.sp1gb,1,1639
core.chargeable.advancemailsec,1,1640
core.chargeable.exchange,1,1641
core.chargeable.sp1gb,1,1642
core.chargeable.advancemailsec,1,1643
core.chargeable.exchange,13,1656
core.chargeable.sp1gb,1,1657
core.chargeable.advancemailsec,13,1670
core.chargeable.exchange,1,1671
core.chargeable.sp1gb,1,1672
core.chargeable.advancemailsec,1,1673
core.chargeable.exchange,7,1680
core.chargeable.sp1gb,1,1681
core.chargeable.advancemailsec,7,1688
core.chargeable.exchange,3,1691
core.chargeable.sp1gb,1,1692
core.chargeable.advancemailsec,3,1695
core.chargeable.exchange,7,1702
core.chargeable.sp1gb,1,1703
core.chargeable.advancemailsec,7,1710
core.chargeable.exchange,16,1726
core.chargeable.sp1gb,1,1727
core.chargeable.advancemailsec,16,1743
core.chargeable.exchange,5,1748
core.chargeable.sp1gb,1,1749
core.chargeable.advancemailsec,5,1754
core.chargeable.exchange,2,1756
core.chargeable.sp1gb,1,1757
core.chargeable.advancemailsec,2,1759
core.chargeable.exchange,5,1764
core.chargeable.sp1gb,1,1765
core.chargeable.advancemailsec,5,1770
core.chargeable.exchange,2,1772
core.chargeable.sp1gb,1,1773
core.chargeable.advancemailsec,2,1775
core.chargeable.exchange,5,1780
core.chargeable.sp1gb,1,1781
core.chargeable.advancemailsec,5,1786
core.chargeable.exchange,5,1791
core.chargeable.sp1gb,1,1792
core.chargeable.advancemailsec,5,1797
core.chargeable.exchange,5,1802
core.chargeable.sp1gb,1,1803
core.chargeable.advancemailsec,5,1808
core.chargeable.exchange,1,1809
core.chargeable.sp1gb,1,1810
core.chargeable.advancemailsec,1,1811
core.chargeable.exchange,3,1814
core.chargeable.sp1gb,1,1815
core.chargeable.advancemailsec,3,1818
core.chargeable.exchange,12,1830
core.chargeable.sp1gb,1,1831
core.chargeable.advancemailsec,12,1843
core.chargeable.exchange,2,1845
core.chargeable.sp1gb,1,1846
core.chargeable.advancemailsec,2,1848
core.chargeable.exchange,1,1849
core.chargeable.sp1gb,1,1850
core.chargeable.advancemailsec,1,1851
core.chargeable.exchange,3,1854
core.chargeable.sp1gb,1,1855
core.chargeable.advancemailsec,3,1858
core.chargeable.exchange,2,1860
core.chargeable.sp1gb,1,1861
core.chargeable.advancemailsec,2,1863
core.chargeable.exchange,7,1870
core.chargeable.sp1gb,1,1871
core.chargeable.advancemailsec,7,1878
core.chargeable.exchange,2,1880
core.chargeable.sp1gb,1,1881
core.chargeable.advancemailsec,2,1883
core.chargeable.exchange,4,1887
core.chargeable.sp1gb,1,1888
core.chargeable.advancemailsec,4,1892
core.chargeable.exchange,3,1895
core.chargeable.sp1gb,1,1896
core.chargeable.advancemailsec,3,1899
core.chargeable.exchange,2,1901
core.chargeable.sp1gb,1,1902
core.chargeable.advancemailsec,2,1904
core.chargeable.exchange,2,1906
core.chargeable.sp1gb,1,1907
core.chargeable.advancemailsec,2,1909
core.chargeable.exchange,1,1910
core.chargeable.sp1gb,1,1911
core.chargeable.advancemailsec,1,1912
core.chargeable.exchange,4,1916
core.chargeable.sp1gb,1,1917
core.chargeable.advancemailsec,4,1921
core.chargeable.encrygateway,1,1922
core.chargeable.exchange,1,1923
core.chargeable.sp1gb,1,1924
core.chargeable.advancemailsec,1,1925
core.chargeable.exchange,2,1927
core.chargeable.sp1gb,1,1928
core.chargeable.advancemailsec,2,1930
core.chargeable.exchange,14,1944
core.chargeable.advancemailsec,14,1958
core.chargeable.exchange,1,1959
core.chargeable.sp1gb,1,1960
core.chargeable.advancemailsec,1,1961
core.chargeable.exchange,2,1963
core.chargeable.sp1gb,1,1964
core.chargeable.advancemailsec,2,1966
core.chargeable.exchange,1,1967
core.chargeable.advancemailsec,1,1968
core.chargeable.exchange,1,1969
core.chargeable.sp1gb,1,1970
core.chargeable.advancemailsec,1,1971
core.chargeable.exchange,1,1972
core.chargeable.sp1gb,1,1973
core.chargeable.advancemailsec,1,1974
core.chargeable.exchange,2,1976
core.chargeable.sp1gb,1,1977
core.chargeable.advancemailsec,2,1979
core.chargeable.exchange,1,1980
core.chargeable.sp1gb,1,1981
core.chargeable.advancemailsec,1,1982
core.chargeable.exchange,10,1992
core.chargeable.advancemailsec,10,2002
core.chargeable.exchange,1,2003
core.chargeable.sp1gb,1,2004
core.chargeable.advancemailsec,1,2005
core.chargeable.exchange,5,2010
core.chargeable.sp1gb,1,2011
core.chargeable.advancemailsec,5,2016
core.chargeable.exchange,2,2018
core.chargeable.sp1gb,1,2019
core.chargeable.advancemailsec,2,2021
core.chargeable.exchange,14,2035
core.chargeable.sp1gb,1,2036
core.chargeable.advancemailsec,14,2050
core.chargeable.exchange,10,2060
core.chargeable.sp1gb,1,2061
core.chargeable.advancemailsec,10,2071
core.chargeable.addspspace,12000,14071
core.chargeable.exchange,1,14072
core.chargeable.advancemailsec,1,14073
core.chargeable.encrygateway,15,14088
core.chargeable.exchange,15,14103
core.chargeable.sp1gb,1,14104
core.chargeable.advancemailsec,15,14119
core.chargeable.exchange,1,14120
core.chargeable.sp1gb,1,14121
core.chargeable.advancemailsec,1,14122
core.chargeable.exchange,2,14124
core.chargeable.sp1gb,1,14125
core.chargeable.advancemailsec,2,14127
core.chargeable.exchange,16,14143
core.chargeable.sp1gb,1,14144
core.chargeable.archivemailbox,16,14160
core.chargeable.advancemailsec,16,14176
core.chargeable.exchange,1,14177
core.chargeable.advancemailsec,1,14178
core.chargeable.exchange,3,14181
core.chargeable.advancemailsec,3,14184
core.chargeable.exchange,7,14191
core.chargeable.sp1gb,1,14192
core.chargeable.advancemailsec,7,14199
core.chargeable.exchange,2,14201
core.chargeable.sp1gb,1,14202
core.chargeable.advancemailsec,2,14204
core.chargeable.exchange,6,14210
core.chargeable.sp1gb,1,14211
core.chargeable.advancemailsec,6,14217
core.chargeable.exchange,1,14218
core.chargeable.sp1gb,1,14219
core.chargeable.advancemailsec,1,14220
core.chargeable.exchange,1,14221
core.chargeable.sp1gb,1,14222
core.chargeable.advancemailsec,1,14223
core.chargeable.exchange,7,14230
core.chargeable.advancemailsec,7,14237
core.chargeable.exchange,2,14239
core.chargeable.sp1gb,1,14240
core.chargeable.advancemailsec,2,14242
